2010-01-23 00:00:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:05:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:08:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:10:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:15:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:20:00,31.6,26.2,29.85,SSW,202,0,2,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:30:00,71.6,32.0,29.72,SW,225,0,1,23,0.00,,,0.00,meteohub,
2010-01-23 00:35:00,31.6,26.2,29.85,SSW,202,0,2,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:40:00,71.2,32.0,29.72,SW,225,0,1,23,0.00,,,0.00,meteohub,
2010-01-23 00:45:00,31.6,26.2,29.85,SSW,202,0,2,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 00:50:00,71.1,32.0,29.72,WSW,248,2,6,23,0.00,,,0.00,meteohub,
2010-01-23 00:55:00,71.1,32.0,29.72,West,270,0,2,23,0.00,,,0.00,meteohub,
2010-01-23 01:00:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 01:05:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 01:08:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 01:10:00,70.7,32.0,29.69,SW,225,1,5,23,0.00,,,0.00,meteohub,
2010-01-23 01:15:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 01:20:00,70.3,30.2,29.69,SW,225,2,2,23,0.00,,,0.00,meteohub,
2010-01-23 01:25:00,70.3,30.2,29.69,West,270,3,3,23,0.00,,,0.00,meteohub,
2010-01-23 01:30:00,70.2,30.2,29.69,WSW,248,2,0,23,0.00,,,0.00,meteohub,
2010-01-23 01:35:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 01:40:00,70.2,30.2,29.72,WSW,248,0,0,22,0.00,,,0.00,meteohub,
2010-01-23 01:45:00,31.6,26.2,29.85,SSW,202,0,2,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 01:50:00,70.2,30.2,29.72,WSW,248,2,2,22,0.00,,,0.00,meteohub,
2010-01-23 01:55:00,70.2,30.2,29.72,WSW,248,2,4,22,0.00,,,0.00,meteohub,
2010-01-23 02:00:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 02:05:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 02:08:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 02:10:00,69.8,30.2,29.72,WSW,248,0,0,23,0.00,,,0.00,meteohub,
2010-01-23 02:15:00,31.6,26.2,29.85,SSW,202,0,2,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 02:20:00,69.4,30.2,29.72,SSW,202,2,4,23,0.00,,,0.00,meteohub,
2010-01-23 02:29:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 02:34:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 02:40:00,68.9,30.2,29.75,West,270,0,4,23,0.00,,,0.00,meteohub,
2010-01-23 02:50:00,68.5,30.2,29.75,WNW,292,5,5,23,0.00,,,0.00,meteohub,
2010-01-23 02:55:00,31.6,26.2,29.85,SSW,202,0,2,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:00:00,31.6,26.2,29.85,SSW,202,0,2,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:05:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:08:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:10:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:15:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:24:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:29:00,31.6,26.2,29.85,SSW,202,2,0,80,0.00,CLR,CLR,0.00,WeatherDisplay:10.37,
2010-01-23 03:35:00,67.6,28.4,29.75,West,270,5,9,23,0.00,,,0.00,meteohub,
2010-01-23 03:40:00,67.5,28.4,29.75,WSW,248,5,6,23,0.00,,,0.00,meteohub,
