?,?,?,?,?,?,?,1.8,314,?,00:56,21.09.2010
?,?,?,?,?,?,?,1.5,311,?,01:56,21.09.2010
?,?,?,?,?,?,?,0.7,345,?,02:56,21.09.2010
?,?,?,?,?,?,?,0.6,343,?,03:56,21.09.2010
?,?,?,?,?,?,?,0.6,341,?,04:56,21.09.2010
?,?,?,?,?,?,?,0.5,305,?,05:56,21.09.2010
?,?,?,?,?,?,?,0.5,335,?,06:56,21.09.2010
?,?,?,?,?,?,?,0.4,297,?,07:56,21.09.2010
?,?,?,?,?,?,?,0.4,287,?,08:56,21.09.2010
?,?,?,?,?,?,?,0.4,285,?,09:56,21.09.2010
?,?,?,?,?,?,?,0.5,282,?,10:56,21.09.2010
?,?,?,?,?,?,?,1.5,250,?,11:56,21.09.2010
?,?,?,?,?,?,?,2.6,284,?,12:56,21.09.2010
?,?,?,?,?,?,?,2.6,288,?,13:56,21.09.2010
?,?,?,?,?,?,?,2.6,291,?,14:56,21.09.2010
?,?,?,?,?,?,?,2.7,248,?,15:56,21.09.2010
?,?,?,?,?,?,?,2.4,236,?,16:56,21.09.2010
?,?,?,?,?,?,?,2.3,215,?,17:56,21.09.2010
?,?,?,?,?,?,?,2.8,241,?,18:56,21.09.2010
?,?,?,?,?,?,?,4.0,213,?,19:56,21.09.2010
?,?,?,?,?,?,?,2.5,199,?,20:56,21.09.2010
?,?,?,?,?,?,?,2.7,202,?,21:56,21.09.2010
?,?,?,?,?,?,?,2.4,190,?,22:56,21.09.2010
